"movie_id","movie_name","movie_distributor","movie_genre"
"Drama_2000_1","The Perfect Storm","Warner Bros.","Drama"
"Drama_2000_2","Erin Brockovich","Universal","Drama"
"Drama_2000_3","Remember the Titans","Walt Disney","Drama"
"Drama_2000_4","The Patriot","Sony Pictures","Drama"
"Drama_2000_5","Cast Away","20th Century Fox","Drama"
"Drama_2000_6","Coyote Ugly","Walt Disney","Drama"
"Drama_2000_7","The Green Mile","Warner Bros.","Drama"
"Drama_2000_8","American Beauty","Dreamworks SKG","Drama"
"Drama_2000_9","The Cider House Rules","Miramax","Drama"
"Drama_2000_10","The Hurricane","Universal","Drama"
"Drama_2000_11","Men of Honor","20th Century Fox","Drama"
"Drama_2000_12","Frequency","New Line","Drama"
"Drama_2000_13","The Talented Mr. Ripley","Paramount Pictures","Drama"
"Drama_2000_14","The Beach","20th Century Fox","Drama"
"Drama_2000_15","Autumn in New York","MGM","Drama"
"Drama_2000_16","Bounce","Miramax","Drama"
"Drama_2000_17","My Dog Skip","Warner Bros.","Drama"
"Drama_2000_18","Where the Heart Is","20th Century Fox","Drama"
"Drama_2000_19","Pay it Forward","Warner Bros.","Drama"
"Drama_2000_20","The Legend of Bagger Vance","Dreamworks SKG","Drama"
"Drama_2000_21","Any Given Sunday","Warner Bros.","Drama"
"Drama_2000_22","Girl, Interrupted","Sony Pictures","Drama"
"Drama_2000_23","Love & Basketball","New Line","Drama"
"Drama_2000_24","Magnolia","New Line","Drama"
"Drama_2000_25","Bicentennial Man","Walt Disney","Drama"
"Drama_2000_26","The Contender","Dreamworks SKG","Drama"
"Drama_2000_27","Center Stage","Sony Pictures","Drama"
"Drama_2000_28","Billy Elliot","Focus Features","Drama"
"Drama_2000_29","Boiler Room","New Line","Drama"
"Drama_2000_30","The Next Best Thing","Paramount Pictures","Drama"
"Drama_2000_31","Get Carter","Warner Bros.","Drama"
"Drama_2000_32","Anna and the King","20th Century Fox","Drama"
"Drama_2000_33","Snow Falling on Cedars","Universal","Drama"
"Drama_2000_34","Angela's Ashes","Paramount Pictures","Drama"
"Drama_2000_35","Here on Earth","20th Century Fox","Drama"
"Drama_2000_36","Man on the Moon","Universal","Drama"
"Drama_2000_37","The End of the Affair","Sony Pictures","Drama"
"Drama_2000_38","Boys Don't Cry","Fox Searchlight","Drama"
"Drama_2000_39","I Dreamed of Africa","Sony Pictures","Drama"
"Drama_2000_40","Croupier","Shooting Gallery","Drama"
"Drama_2000_41","Todo sobre mi madre","Sony Pictures Cla…","Drama"
"Drama_2000_42","Finding Forrester","Sony Pictures","Drama"
"Drama_2000_43","Black and White","Sony Pictures","Drama"
"Drama_2000_44","Gossip","Warner Bros.","Drama"
"Drama_2000_45","Sunshine","Paramount Vantage","Drama"
"Drama_2000_46","Duets","Walt Disney","Drama"
"Drama_2000_47","Chocolat","Miramax","Drama"
"Drama_2000_48","You Can Count on Me","Paramount Vantage","Drama"
