"movie_id","movie_name","movie_distributor","movie_genre"
"Thriller-or-Suspense_2000_1","What Lies Beneath","Dreamworks SKG","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_2","Unbreakable","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_3","Rules of Engagement","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_4","The Cell","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_5","The Skulls","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_6","The Art of War","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_7","Bless the Child","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_8","The Watcher","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_9","The Ninth Gate","Artisan","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_10","The Sixth Sense","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_11","Lost Souls","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_12","Eye of the Beholder","Destination Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_13","The In Crowd","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_14","The Bone Collector","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_15","Blood Simple","USA Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_16","Trois","Rainforest Produc…","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_17","Du rififi chez les hommes","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_18","Deterrence","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_19","With a Friend Like Harry","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_20","Lola rennt","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_21","Taboo","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_22","The Gift","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_23","Buddy Boy","Fine Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_24","Circus","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_25","The Quarry","First Run Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_26","Brown's Requiem","Avalanche Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_27","Placebo Effect","Phaedra Cinema","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_1","Ocean's Eleven","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_2","Vanilla Sky","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_3","Along Came a Spider","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_4","The Score","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_5","Don’t Say a Word","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_6","Domestic Disturbance","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_7","From Hell","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_8","Memento","Newmarket Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_9","15 Minutes","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_10","Joy Ride","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_11","The Glass House","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_12","Original Sin","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_13","The Tailor of Panama","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_14","The Gift","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_15","Antitrust","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_16","The Deep End","Fox Searchlight","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_17","Unbreakable","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_18","With a Friend Like Harry","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_19","Impostor","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_20","Brigham City","Excel Entertainment","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_21","Brother","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_22","Taboo","","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_23","Une affaire de goût","Attitude Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_24","The Body","Avalanche Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_25","Du rififi chez les hommes","","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_26","Protection","","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_1","Signs","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_2","The Bourne Identity","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_3","Panic Room","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2002_4","Red Dragon","Universal","Thriller-or-Suspense"
